rocket_name,launchpad_name,success,crew_count,payloads_count,cores_reused,rocket_active,rocket_cost_per_launch,rocket_success_rate,rocket_height_m,rocket_diameter_m,rocket_mass_kg
Falcon 1,Kwajalein Atoll,0,0,1,0,0,6700000,40,22.25,1.68,30146
Falcon 1,Kwajalein Atoll,0,0,1,0,0,6700000,40,22.25,1.68,30146
Falcon 1,Kwajalein Atoll,0,0,2,0,0,6700000,40,22.25,1.68,30146
Falcon 1,Kwajalein Atoll,1,0,1,0,0,6700000,40,22.25,1.68,30146
Falcon 1,Kwajalein Atoll,1,0,1,0,0,6700000,40,22.25,1.68,30146
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,2,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,2,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,2,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,0,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,2,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,0,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon Heavy,KSC LC 39A,1,0,1,2,1,90000000,100,70.0,12.2,1420788
Falcon 9,VAFB SLC 4E,1,0,2,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,2,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,3,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon Heavy,KSC LC 39A,1,0,1,0,1,90000000,100,70.0,12.2,1420788
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon Heavy,KSC LC 39A,1,0,16,2,1,90000000,100,70.0,12.2,1420788
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,2,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,2,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,4,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,4,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,3,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,4,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,4,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,4,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,4,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,0,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,VAFB SLC 4E,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,2,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,0,2,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,CCSFS SLC 40,1,0,1,1,1,50000000,98,70.0,3.7,549054
Falcon 9,KSC LC 39A,1,4,1,0,1,50000000,98,70.0,3.7,549054
